Verb,Tense,Pronoun,ConjugatedVerb
to get,Future progressive / continuous,I will be ,getting
to get,Future progressive / continuous,you will be ,getting
to get,Future progressive / continuous,he will be ,getting
to get,Future progressive / continuous,we will be ,getting
to get,Future progressive / continuous,you will be ,getting
to get,Future progressive / continuous,they will be ,getting
to get,Future perfect,I will have ,got/gotten
to get,Future perfect,you will have ,got/gotten
to get,Future perfect,he will have ,got/gotten
to get,Future perfect,we will have ,got/gotten
to get,Future perfect,you will have ,got/gotten
to get,Future perfect,they will have ,got/gotten
to get,Future perfect continuous,I will have been ,getting
to get,Future perfect continuous,you will have been ,getting
to get,Future perfect continuous,he will have been ,getting
to get,Future perfect continuous,we will have been ,getting
to get,Future perfect continuous,you will have been ,getting
to get,Future perfect continuous,they will have been ,getting
to lose,Present (simple),I ,lose
to lose,Present (simple),you ,lose
to lose,Present (simple),he ,loses
to lose,Present (simple),we ,lose
to lose,Present (simple),you ,lose
to lose,Present (simple),they ,lose
to lose,Present progressive / continuous,I am ,losing
to lose,Present progressive / continuous,you are ,losing
to lose,Present progressive / continuous,he is ,losing
to lose,Present progressive / continuous,we are ,losing
to lose,Present progressive / continuous,you are ,losing
to lose,Present progressive / continuous,they are ,losing
to lose,Past (simple),I ,lost
to lose,Past (simple),you ,lost
to lose,Past (simple),he ,lost
to lose,Past (simple),we ,lost
to lose,Past (simple),you ,lost
to lose,Past (simple),they ,lost
to lose,Past progressive / continuous,I was ,losing
to lose,Past progressive / continuous,you were ,losing
to lose,Past progressive / continuous,he was ,losing
to lose,Past progressive / continuous,we were ,losing
to lose,Past progressive / continuous,you were ,losing
to lose,Past progressive / continuous,they were ,losing
to lose,Present perfect (simple),I have ,lost
to lose,Present perfect (simple),you have ,lost
to lose,Present perfect (simple),he has ,lost
to lose,Present perfect (simple),we have ,lost
to lose,Present perfect (simple),you have ,lost
to lose,Present perfect (simple),they have ,lost
to lose,Present perfect progressive / continuous,I have been ,losing
to lose,Present perfect progressive / continuous,you have been ,losing
to lose,Present perfect progressive / continuous,he has been ,losing
to lose,Present perfect progressive / continuous,we have been ,losing
to lose,Present perfect progressive / continuous,you have been ,losing
to lose,Present perfect progressive / continuous,they have been ,losing
to lose,Past perfect,I had ,lost
to lose,Past perfect,you had ,lost
to lose,Past perfect,he had ,lost
to lose,Past perfect,we had ,lost
to lose,Past perfect,you had ,lost
to lose,Past perfect,they had ,lost
to lose,Past perfect progressive / continuous,I had been ,losing
to lose,Past perfect progressive / continuous,you had been ,losing
to lose,Past perfect progressive / continuous,he had been ,losing
to lose,Past perfect progressive / continuous,we had been ,losing
to lose,Past perfect progressive / continuous,you had been ,losing
to lose,Past perfect progressive / continuous,they had been ,losing
to lose,Future,I will ,lose
to lose,Future,you will ,lose
to lose,Future,he will ,lose
to lose,Future,we will ,lose
to lose,Future,you will ,lose
to lose,Future,they will ,lose
to lose,Future progressive / continuous,I will be ,losing
to lose,Future progressive / continuous,you will be ,losing
to lose,Future progressive / continuous,he will be ,losing
to lose,Future progressive / continuous,we will be ,losing
to lose,Future progressive / continuous,you will be ,losing
to lose,Future progressive / continuous,they will be ,losing
to lose,Future perfect,I will have ,lost
to lose,Future perfect,you will have ,lost
to lose,Future perfect,he will have ,lost
to lose,Future perfect,we will have ,lost
to lose,Future perfect,you will have ,lost
to lose,Future perfect,they will have ,lost
to lose,Future perfect continuous,I will have been ,losing
to lose,Future perfect continuous,you will have been ,losing
to lose,Future perfect continuous,he will have been ,losing
to lose,Future perfect continuous,we will have been ,losing
to lose,Future perfect continuous,you will have been ,losing
to lose,Future perfect continuous,they will have been ,losing
to give,Present (simple),I ,give
to give,Present (simple),you ,give
to give,Present (simple),he ,gives
to give,Present (simple),we ,give
to give,Present (simple),you ,give
to give,Present (simple),they ,give
to give,Present progressive / continuous,I am ,giving
to give,Present progressive / continuous,you are ,giving
to give,Present progressive / continuous,he is ,giving
to give,Present progressive / continuous,we are ,giving
to give,Present progressive / continuous,you are ,giving
to give,Present progressive / continuous,they are ,giving
to give,Past (simple),I ,gave
to give,Past (simple),you ,gave
to give,Past (simple),he ,gave
to give,Past (simple),we ,gave
to give,Past (simple),you ,gave
to give,Past (simple),they ,gave
to give,Past progressive / continuous,I was ,giving
to give,Past progressive / continuous,you were ,giving
to give,Past progressive / continuous,he was ,giving
to give,Past progressive / continuous,we were ,giving
to give,Past progressive / continuous,you were ,giving
to give,Past progressive / continuous,they were ,giving
to give,Present perfect (simple),I have ,given
to give,Present perfect (simple),you have ,given
to give,Present perfect (simple),he has ,given
to give,Present perfect (simple),we have ,given
to give,Present perfect (simple),you have ,given
to give,Present perfect (simple),they have ,given
to give,Present perfect progressive / continuous,I have been ,giving
